,ID,Refs,Origin,Sampling_Date,Measure_1,Measure_2
barcode08,1,Sample01,Algae_culture,01/01/00,1,1
barcode16,2,Sample02,Algae_culture,01/01/00,2,2
barcode23,3,Sample03,Algae_culture,01/01/00,3,3
barcode24,4,Sample04,Algae_culture,01/01/00,4,4
barcode31,5,Sample05,Algae_culture,01/01/00,5,5
barcode32,6,Sample06,Algae_culture,01/01/00,6,6
barcode39,7,Sample07,Algae_culture,01/01/00,7,7
barcode40,8,Sample08,Algae_culture,01/01/00,8,8
barcode47,9,Sample09,Algae_culture,01/01/00,9,9
barcode48,10,Sample10,Algae_culture,01/01/00,10,10
barcode55,11,Sample11,Algae_culture,01/01/00,11,11
barcode56,12,Sample12,Algae_culture,01/01/00,12,12
barcode63,13,Sample13,Algae_culture,01/01/00,13,13
barcode64,14,Sample14,Algae_culture,01/01/00,14,14
barcode71,15,Sample15,Algae_culture,01/01/00,15,15
barcode72,16,Sample16,Algae_culture,01/01/00,16,16
barcode79,17,Sample17,Algae_culture,01/01/00,17,17
barcode80,18,Sample18,Algae_culture,01/01/00,18,18
barcode87,19,Sample19,Algae_culture,01/01/00,19,19
barcode88,20,Sample20,Algae_culture,01/01/00,20,20
barcode95,21,Sample21,Algae_culture,01/01/00,21,21
